Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     39.49     0.00     1920     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::_M_default_append(unsigned long)
  0.00     39.49     0.00     1760     0.00     0.00  alglib_impl::ae_frame_make(alglib_impl::ae_state*, alglib_impl::ae_frame*)
  0.00     39.49     0.00     1760     0.00     0.00  alglib_impl::ae_frame_leave(alglib_impl::ae_state*)
  0.00     39.49     0.00     1600     0.00     0.00  alglib_impl::rcond_rmatrixestimatenorm(long, alglib_impl::ae_vector*, alglib_impl::ae_vector*, alglib_impl::ae_vector*, double*, long*, alglib_impl::ae_state*)
  0.00     39.49     0.00     1360     0.00     0.00  alglib_impl::ae_complex_from_i(long)
  0.00     39.49     0.00     1280     0.00     0.00  alglib_impl::rmatrixscaledtrsafesolve(alglib_impl::ae_matrix*, double, long, alglib_impl::ae_vector*, bool, long, bool, double, alglib_impl::ae_state*)
  0.00     39.49     0.00      960     0.00     0.00  alglib_impl::ae_sqrt(double, alglib_impl::ae_state*)
  0.00     39.49     0.00      720     0.00     7.76  u(int, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, double, double, double)
  0.00     39.49     0.00      720     0.00     0.00  alglib::real_1d_array::operator[](long)
  0.00     39.49     0.00      640     0.00     0.00  alglib_impl::ae_v_moveneg(double*, long, double const*, long, long)
  0.00     39.49     0.00      640     0.00     0.00  alglib_impl::rmatrixrank1(long, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, long, alglib_impl::ae_vector*, long, alglib_impl::ae_state*)
  0.00     39.49     0.00      640     0.00     0.00  alglib_impl::rmatrixrank1f(long, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, long, alglib_impl::ae_vector*, long, alglib_impl::ae_state*)
  0.00     39.49     0.00      640     0.00     0.00  alglib_impl::_ialglib_rmatrixrank1(long, long, double*, long, double*, double*)
  0.00     39.49     0.00      640     0.00     0.00  alglib_impl::_ialglib_i_rmatrixrank1f(long, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, long, alglib_impl::ae_vector*, long)
  0.00     39.49     0.00      600     0.00     0.00  operator+(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)
  0.00     39.49     0.00      480     0.00     0.00  alglib_impl::imax2(long, long, alglib_impl::ae_state*)
  0.00     39.49     0.00      400     0.00     0.00  alglib_impl::ae_touch_ptr(void*)
  0.00     39.49     0.00      400     0.00     0.00  alglib_impl::ae_matrix_init(alglib_impl::ae_matrix*, long, long, long, alglib_impl::ae_state*, bool)
  0.00     39.49     0.00      400     0.00     0.00  alglib_impl::ae_v_add(double*, long, double const*, long, long)
  0.00     39.49     0.00      400     0.00     0.00  alglib::_densesolverlsreport_owner::~_densesolverlsreport_owner()
  0.00     39.49     0.00      320     0.00     0.00  multipl(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >&, std::vector<double, std::allocator<double> >&)
  0.00     39.49     0.00      280     0.00     0.00  multipl(double, std::vector<double, std::allocator<double> >&)
  0.00     39.49     0.00      240     0.00     0.00  alglib_impl::ae_vector_clear(alglib_impl::ae_vector*)
  0.00     39.49     0.00      240     0.00     0.00  alglib_impl::matrixtilesizea(alglib_impl::ae_state*)
  0.00     39.49     0.00      240     0.00     0.00  alglib_impl::matrixtilesizeb(alglib_impl::ae_state*)
  0.00     39.49     0.00      240     0.00     0.00  alglib_impl::ae_matrix_set_length(alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*)
  0.00     39.49     0.00      160     0.00     0.00  alglib_impl::ae_state_init(alglib_impl::ae_state*)
  0.00     39.49     0.00      160     0.00     0.00  alglib_impl::ae_state_clear(alglib_impl::ae_state*)
  0.00     39.49     0.00      160     0.00     0.00  alglib_impl::rcondthreshold(alglib_impl::ae_state*)
  0.00     39.49     0.00      160     0.00     0.00  alglib_impl::ae_matrix_clear(alglib_impl::ae_matrix*)
  0.00     39.49     0.00      160     0.00     0.00  alglib_impl::rmatrixlefttrsm(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*)
  0.00     39.49     0.00      160     0.00     0.00  alglib_impl::rmatrixlefttrsmf(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*)
  0.00     39.49     0.00      160     0.00     0.00  alglib_impl::rmatrixlefttrsmmkl(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*)
  0.00     39.49     0.00      160     0.00     0.00  alglib_impl::_ialglib_mcopyblock(long, long, double const*, long, long, double*)
  0.00     39.49     0.00      160     0.00     0.00  alglib_impl::ae_state_set_break_jump(alglib_impl::ae_state*, __jmp_buf_tag (*) [1])
  0.00     39.49     0.00      160     0.00     0.00  alglib_impl::_ialglib_i_rmatrixlefttrsmf(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long)
  0.00     39.49     0.00      160     0.00     0.00  alglib_impl::rcond_rmatrixrcondluinternal(alglib_impl::ae_matrix*, long, bool, bool, double, double*, alglib_impl::ae_state*)
  0.00     39.49     0.00      160     0.00     0.00  alglib::real_1d_array::attach_to_ptr(long, double*)
  0.00     39.49     0.00      160     0.00     0.00  alglib::real_1d_array::real_1d_array()
  0.00     39.49     0.00      160     0.00     0.00  alglib::real_1d_array::~real_1d_array()
  0.00     39.49     0.00      160     0.00     0.00  alglib::ae_vector_wrapper::attach_to(alglib_impl::x_vector*, alglib_impl::ae_state*)
  0.00     39.49     0.00      160     0.00     0.00  alglib::ae_vector_wrapper::ae_vector_wrapper(long)
  0.00     39.49     0.00      160     0.00     0.00  alglib::ae_vector_wrapper::~ae_vector_wrapper()
  0.00     39.49     0.00      160     0.00     0.00  std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >::_M_default_append(unsigned long)
  0.00     39.49     0.00      160     0.00     0.00  operator-(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)
  0.00     39.49     0.00      100     0.00     0.00  theta0(double)
  0.00     39.49     0.00      100     0.00     0.00  theta0p(double)
  0.00     39.49     0.00       80     0.00     0.00  convertMMatrix(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >)
  0.00     39.49     0.00       80     0.00    17.45  A(double, double, int, std::vector<double, std::allocator<double> >&, int)
  0.00     39.49     0.00       80     0.00    17.45  B(double, double, int, std::vector<double, std::allocator<double> >&, int)
  0.00     39.49     0.00       80     0.00     0.00  K(int, double, double)
  0.00     39.49     0.00       80     0.00     1.94  mM(double, double, std::vector<double, std::allocator<double> >&, double, int)
  0.00     39.49     0.00       80     0.00   384.01  mV(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, double, double, double, int, double)
  0.00     39.49     0.00       80     0.00     0.00  mY(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >&, std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >&)
  0.00     39.49     0.00       80     0.00     0.00  mZ(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >&, std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >&)
  0.00     39.49     0.00       80     0.00   493.56  step(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00     39.49     0.00       80     0.00    69.82  uVek(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, double, double, double, int, double)
  0.00     39.49     0.00       80     0.00     0.00  solve(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >&, std::vector<double, std::allocator<double> >&)
  0.00     39.49     0.00       80     0.00     0.00  theta0pp(double)
  0.00     39.49     0.00       80     0.00     2.89  verschVek(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, double, double, double, int)
  0.00     39.49     0.00       80     0.00     0.00  alglib_impl::rmatrixplu(alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, alglib_impl::ae_state*)
  0.00     39.49     0.00       80     0.00     0.00  alglib_impl::rmatrixsolve(alglib_impl::ae_matrix*, long, alglib_impl::ae_vector*, long*, alglib_impl::densesolverreport*, alglib_impl::ae_vector*, alglib_impl::ae_state*)
  0.00     39.49     0.00       80     0.00     0.00  alglib_impl::rmatrixplumkl(alglib_impl::ae_matrix*, long, long, long, alglib_impl::ae_vector*, alglib_impl::ae_state*)
  0.00     39.49     0.00       80     0.00     0.00  alglib_impl::rmatrixplurec(alglib_impl::ae_matrix*, long, long, long, alglib_impl::ae_vector*, alglib_impl::ae_vector*, alglib_impl::ae_state*)
  0.00     39.49     0.00       80     0.00     0.00  alglib_impl::rmatrixsolvem(alglib_impl::ae_matrix*, long, alglib_impl::ae_matrix*, long, bool, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*)
  0.00     39.49     0.00       80     0.00     0.00  alglib_impl::rmatrixlurcond1(alglib_impl::ae_matrix*, long, alglib_impl::ae_state*)
  0.00     39.49     0.00       80     0.00     0.00  alglib_impl::rmatrixlurcondinf(alglib_impl::ae_matrix*, long, alglib_impl::ae_state*)
  0.00     39.49     0.00       80     0.00     0.00  alglib_impl::ae_matrix_init_attach_to_x(alglib_impl::ae_matrix*, alglib_impl::x_matrix*, alglib_impl::ae_state*, bool)
  0.00     39.49     0.00       80     0.00     0.00  alglib_impl::ae_maxint(long, long, alglib_impl::ae_state*)
  0.00     39.49     0.00       80     0.00     0.00  alglib_impl::rmatrixlu(alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, alglib_impl::ae_state*)
  0.00     39.49     0.00       80     0.00     0.00  alglib_impl::directdensesolvers_rmatrixlusolveinternal(alglib_impl::ae_matrix*, alglib_impl::ae_vector*, long, alglib_impl::ae_matrix*, bool, alglib_impl::ae_matrix*, long, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*)
  0.00     39.49     0.00       80     0.00     0.00  alglib::rmatrixsolve(alglib::real_2d_array const&, long, alglib::real_1d_array const&, long&, alglib::densesolverreport&, alglib::real_1d_array&, alglib::xparams)
  0.00     39.49     0.00       80     0.00     0.00  alglib::real_2d_array::attach_to_ptr(long, long, double*)
  0.00     39.49     0.00       80     0.00     0.00  alglib::real_2d_array::real_2d_array()
  0.00     39.49     0.00       80     0.00     0.00  alglib::real_2d_array::~real_2d_array()
  0.00     39.49     0.00       80     0.00     0.00  alglib::ae_matrix_wrapper::ae_matrix_wrapper(long)
  0.00     39.49     0.00       80     0.00     0.00  alglib::ae_matrix_wrapper::~ae_matrix_wrapper()
  0.00     39.49     0.00       80     0.00     0.00  alglib::ae_vector_wrapper::c_ptr()
  0.00     39.49     0.00       80     0.00     0.00  alglib::densesolverreport::densesolverreport()
  0.00     39.49     0.00       80     0.00     0.00  alglib::densesolverreport::~densesolverreport()
  0.00     39.49     0.00       80     0.00     0.00  alglib::_densesolverreport_owner::_densesolverreport_owner()
  0.00     39.49     0.00       80     0.00     0.00  alglib::ae_matrix_wrapper::c_ptr() const
  0.00     39.49     0.00       80     0.00     0.00  alglib::ae_vector_wrapper::c_ptr() const
  0.00     39.49     0.00       80     0.00     0.00  std::vector<double, std::allocator<double> >::operator=(std::vector<double, std::allocator<double> > const&)
  0.00     39.49     0.00       22     0.00     0.00  save(double&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00     39.49     0.00       21     0.00     0.00  save(std::vector<double, std::allocator<double> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00     39.49     0.00        1     0.00     0.00  _GLOBAL__sub_I_Am
  0.00     39.49     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z12plotteMatrixRSt6vectorIS_IdSaIdEESaIS1_EE
  0.00     39.49     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z4stepiddddbbbRSt6vectorIdSaIdEES2_idNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE
  0.00     39.49     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z5euleriddddbbbSt6vectorIdSaIdEES1_idNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES7_id
  0.00     39.49     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z5solveRSt6vectorIS_IdSaIdEESaIS1_EERS1_
  0.00     39.49     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN11alglib_impl23getrdfserializationcodeEPNS_8ae_stateE
  0.00     39.49     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN11alglib_impl30_alglib_global_threading_flagsE
  0.00     39.49     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN6alglib19_sparsematrix_ownerC2Ev
  0.00     39.49     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN6alglib24_densesolverreport_ownerC2Ev
  0.00     39.49     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN6alglib26_kdtreerequestbuffer_ownerC2Ev
  0.00     39.49     0.00        1     0.00     0.00  _GLOBAL__sub_I_main

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.03% of 39.49 seconds

index % time    self  children    called     name
                0.00   39.49      80/80          rungeKutta4(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double) [2]
[1]    100.0    0.00   39.49      80         step(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) [1]
                0.00   30.72      80/80          mV(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, double, double, double, int, double) [6]
                0.00    5.59      80/80          uVek(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, double, double, double, int, double) [10]
                0.00    1.40      80/80          A(double, double, int, std::vector<double, std::allocator<double> >&, int) [13]
                0.00    1.40      80/80          B(double, double, int, std::vector<double, std::allocator<double> >&, int) [14]
                0.00    0.23      80/80          verschVek(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, double, double, double, int) [15]
                0.00    0.16      80/80          mM(double, double, std::vector<double, std::allocator<double> >&, double, int) [17]
                0.00    0.00     320/320         multipl(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >&, std::vector<double, std::allocator<double> >&) [96]
                0.00    0.00     320/600         operator+(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >) [90]
                0.00    0.00     160/160         operator-(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >) [120]
                0.00    0.00      80/100         theta0(double) [121]
                0.00    0.00      80/100         theta0p(double) [122]
                0.00    0.00      80/80          K(int, double, double) [124]
                0.00    0.00      80/80          mZ(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >&, std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >&) [126]
                0.00    0.00      80/80          mY(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >&, std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >&) [125]
                0.00    0.00      80/80          convertMMatrix(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >) [123]
                0.00    0.00      80/80          theta0pp(double) [128]
