Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  3.73      1.19     1.19                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ ba2c)
  0.61     21.06     0.20                             N(int, double, double) (terms.cpp:13 @ b8d0)
  0.60     21.25     0.19                             N(int, double, double) (terms.cpp:17 @ aed9)
  0.58     21.44     0.19                             N(int, double, double) (terms.cpp:17 @ bc20)
  0.55     21.61     0.18                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ c5df)
  0.55     21.79     0.18                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ d006)
  0.53     21.96     0.17                             N(int, double, double) (terms.cpp:16 @ a808)
  0.52     22.12     0.17                             N(int, double, double) (terms.cpp:16 @ b0ed)
  0.52     22.29     0.17                             N(int, double, double) (terms.cpp:19 @ b230)
  0.52     22.45     0.17                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ b798)
  0.50     22.61     0.16                             N(int, double, double) (terms.cpp:16 @ ae53)
  0.50     22.77     0.16                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:27 @ b85a)
  0.49     22.93     0.16                             N(int, double, double) (terms.cpp:17 @ bb44)
  0.49     23.08     0.16                             double Integral_<double (double, int, double, std::vector<double, std::allocator<double> > const&), &(CosIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&)), int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ af88)
  0.49     23.24     0.16                             N(int, double, double) (terms.cpp:17 @ b919)
  0.47     23.39     0.15 215357760     0.00     0.00  Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:24 @ a6c0)
  0.47     23.54     0.15                             N(int, double, double) (terms.cpp:16 @ babb)
  0.47     23.69     0.15                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ af75)
  0.47     23.84     0.15                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ ca4a)
  0.45     23.98     0.15                             N(int, double, double) (terms.cpp:19 @ af50)
  0.45     24.13     0.15                             N(int, double, double) (terms.cpp:17 @ b1e0)
  0.44     24.27     0.14                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ cab4)
  0.41     24.40     0.13                             N(int, double, double) (terms.cpp:13 @ b860)
  0.39     24.52     0.13                             N(int, double, double) (terms.cpp:16 @ a859)
  0.39     24.65     0.13                             N(int, double, double) (terms.cpp:14 @ b0bd)
  0.39     24.77     0.13                             N(int, double, double) (terms.cpp:19 @ b210)
  0.38     24.89     0.12                             N(int, double, double) (terms.cpp:16 @ af36)
  0.36     25.01     0.12                             N(int, double, double) (terms.cpp:13 @ ae90)
  0.34     25.12     0.11                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:41 @ a83a)
  0.34     25.23     0.11                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:33 @ b23d)
  0.34     25.34     0.11                             N(int, double, double) (terms.cpp:13 @ a7b5)
  0.33     25.44     0.11                             N(int, double, double) (terms.cpp:13 @ a840)
  0.33     25.55     0.11                             N(int, double, double) (terms.cpp:13 @ b0b0)
  0.33     25.65     0.11                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:35 @ b0a6)
  0.33     25.76     0.11                             double Integral_<double (double, int, double, std::vector<double, std::allocator<double> > const&), &(SinIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&)), int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ b9a8)
  0.31     25.86     0.10                             N(int, double, double) (terms.cpp:14 @ b0d8)
  0.31     25.96     0.10                             N(int, double, double) (terms.cpp:16 @ cca0)
  0.31     26.06     0.10                             N(int, double, double) (terms.cpp:17 @ ccb3)
  0.31     26.16     0.10                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:35 @ ae86)
  0.31     26.26     0.10                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ b9b5)
  0.30     26.35     0.10                             N(int, double, double) (terms.cpp:16 @ b174)
  0.30     26.45     0.10                             N(int, double, double) (terms.cpp:13 @ cb50)
  0.30     26.54     0.10                             double Integral_<double (double, int, double, std::vector<double, std::allocator<double> > const&), &(CosIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&)), int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ ad65)
  0.28     26.63     0.09                             N(int, double, double) (terms.cpp:19 @ a880)
  0.28     26.72     0.09                             N(int, double, double) (terms.cpp:16 @ cb73)
  0.28     26.81     0.09                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:31 @ a7ac)
  0.28     26.90     0.09                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:31 @ ae17)
  0.27     26.99     0.09                             double Integral_<double (double, int, double, std::vector<double, std::allocator<double> > const&), &(SinIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&)), int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:19 @ bbed)
  0.27     27.07     0.09                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ c645)
  0.25     27.15     0.08                             double Integral_<double (double, int, double, std::vector<double, std::allocator<double> > const&), &(SinIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&)), int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ bbf0)
  0.23     27.23     0.08 94489920     0.00     0.00  dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:119 @ ca20)
  0.23     27.30     0.08                             N(int, double, double) (terms.cpp:13 @ ae20)
  0.23     27.38     0.08                             N(int, double, double) (terms.cpp:19 @ bbc6)
  0.23     27.45     0.08                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:35 @ a7d0)
  0.23     27.53     0.08                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ ad58)
  0.23     27.60     0.08                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ d06c)
  0.22     27.67     0.07                             N(int, double, double) (terms.cpp:17 @ a81a)
  0.22     27.74     0.07                             N(int, double, double) (terms.cpp:13 @ ba85)
  0.22     27.81     0.07                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ b9bf)
  0.22     27.88     0.07                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:31 @ ba83)
  0.22     27.95     0.07                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:35 @ bae6)
  0.22     28.02     0.07                             double Integral_<double (double, int, double, std::vector<double, std::allocator<double> > const&), &(SinIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&)), int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ b9c8)
  0.20     28.09     0.07                             N(int, double, double) (terms.cpp:16 @ cc1e)
  0.20     28.15     0.07                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:31 @ ae1e)
  0.20     28.22     0.07                             double Integral_<double (double, int, double, std::vector<double, std::allocator<double> > const&), &(CosIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&)), int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ af68)
  0.20     28.28     0.07                             N(int, double, double) (terms.cpp:13 @ d158)
  0.19     28.34     0.06                             CosIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:45 @ af09)
  0.19     28.40     0.06                             N(int, double, double) (terms.cpp:14 @ b86c)
  0.19     28.46     0.06                             N(int, double, double) (terms.cpp:19 @ b990)
  0.19     28.52     0.06                             N(int, double, double) (terms.cpp:16 @ bbb4)
  0.19     28.58     0.06                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:31 @ b03c)
  0.19     28.64     0.06                             double Integral_<double (double, int, double, std::vector<double, std::allocator<double> > const&), &(SinIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&)), int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ b790)
  0.17     28.70     0.06                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ b784)
  0.16     28.75     0.05                             dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:121 @ cc4c)
  0.16     28.80     0.05                             N(int, double, double) (terms.cpp:14 @ bafd)
  0.16     28.85     0.05                             N(int, double, double) (terms.cpp:13 @ cb1d)
  0.16     28.90     0.05                             N(int, double, double) (terms.cpp:13 @ cc58)
  0.16     28.95     0.05                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (stl_vector.h:671 @ a79d)
  0.16     29.00     0.05                             double Integral_<double (double, int, double, std::vector<double, std::allocator<double> > const&), &(CosIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&)), int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ b1b0)
  0.16     29.05     0.05                             double Integral_<double (double, int, double, std::vector<double, std::allocator<double> > const&), &(CosIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&)), int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:19 @ b1b5)
  0.16     29.10     0.05                             double Integral_<double (double, int, double, std::vector<double, std::allocator<double> > const&), &(SinIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&)), int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ b7a5)
  0.14     29.14     0.05                             N(int, double, double) (terms.cpp:14 @ ae2c)
  0.14     29.19     0.05                             N(int, double, double) (terms.cpp:14 @ ae9c)
  0.13     29.23     0.04                             N(int, double, double) (terms.cpp:23 @ a6bd)
  0.13     29.27     0.04                             N(int, double, double) (terms.cpp:19 @ b186)
  0.13     29.31     0.04                             N(int, double, double) (terms.cpp:13 @ cf80)
  0.13     29.35     0.04                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:27 @ a7a1)
  0.13     29.39     0.04                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ c5c0)
  0.13     29.43     0.04                             double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ f7b0)
  0.11     29.46     0.04                             N(int, double, double) (terms.cpp:16 @ b976)
  0.11     29.50     0.04                             N(int, double, double) (terms.cpp:13 @ 10224)
  0.11     29.53     0.04                             CosInt(int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:61 @ b1cd)
  0.09     29.56     0.03                             N(int, double, double) (terms.cpp:19 @ c9e8)
  0.09     29.59     0.03                             N(int, double, double) (terms.cpp:13 @ d0eb)
  0.09     29.62     0.03                             N(int, double, double) (terms.cpp:19 @ d330)
  0.09     29.65     0.03                             N(int, double, double) (terms.cpp:13 @ 10270)
  0.09     29.68     0.03                             N(int, double, double) (terms.cpp:14 @ bb18)
  0.09     29.71     0.03                             N(int, double, double) (terms.cpp:13 @ c7a2)
  0.09     29.74     0.03                             N(int, double, double) (terms.cpp:13 @ c8b8)
  0.09     29.77     0.03                             N(int, double, double) (terms.cpp:16 @ c8cd)
  0.09     29.80     0.03                             N(int, double, double) (terms.cpp:19 @ cd00)
  0.09     29.83     0.03                             N(int, double, double) (terms.cpp:13 @ cf4f)
  0.09     29.86     0.03                             N(int, double, double) (terms.cpp:16 @ cf5f)
  0.09     29.89     0.03                             N(int, double, double) (terms.cpp:17 @ d191)
  0.09     29.92     0.03                             N(int, double, double) (terms.cpp:13 @ 10178)
  0.09     29.95     0.03                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:33 @ b8c0)
  0.09     29.98     0.03                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:37 @ cb98)
  0.09     30.01     0.03                             double Integral_<double (double, int, double, std::vector<double, std::allocator<double> > const&), &(CosIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&)), int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ ad50)
  0.09     30.04     0.03                             double Integral_<double (double, int, double, std::vector<double, std::allocator<double> > const&), &(CosIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&)), int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ b1a8)
  0.09     30.07     0.03                             double Integral_<double (double, int, double, std::vector<double, std::allocator<double> > const&), &(CosIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&)), int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:19 @ b1ad)
  0.09     30.10     0.03                             double Integral_<double (double, int, double, std::vector<double, std::allocator<double> > const&), &(SinIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&)), int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ bbe8)
  0.08     30.13     0.03                             dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (stl_vector.h:671 @ cb0d)
  0.08     30.15     0.03                             N(int, double, double) (terms.cpp:16 @ c753)
  0.08     30.18     0.03                             N(int, double, double) (terms.cpp:14 @ cb4c)
  0.08     30.20     0.03                             N(int, double, double) (terms.cpp:19 @ cc34)
  0.08     30.23     0.03                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ ca31)
  0.08     30.25     0.03                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:33 @ d138)
  0.08     30.28     0.03                             SinInt(int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:80 @ bc0d)
  0.08     30.30     0.03                             double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ cffd)
  0.08     30.33     0.03                             double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ f820)
  0.06     30.35     0.02                             AIntegrand(double, int, int, int, double, std::vector<double, std::allocator<double> >&, int) (terms.cpp:144 @ 10345)
  0.06     30.37     0.02                             dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:120 @ cf2e)
  0.06     30.39     0.02                             dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:97 @ 10122)
  0.06     30.41     0.02                             N(int, double, double) (terms.cpp:13 @ abd6)
  0.06     30.43     0.02                             N(int, double, double) (terms.cpp:13 @ b6b0)
  0.06     30.45     0.02                             N(int, double, double) (terms.cpp:13 @ c730)
  0.06     30.47     0.02                             N(int, double, double) (terms.cpp:17 @ c769)
  0.06     30.49     0.02                             N(int, double, double) (terms.cpp:14 @ c79e)
  0.06     30.51     0.02                             N(int, double, double) (terms.cpp:13 @ c874)
  0.06     30.53     0.02                             N(int, double, double) (terms.cpp:14 @ c88c)
  0.06     30.55     0.02                             N(int, double, double) (terms.cpp:13 @ c890)
  0.06     30.57     0.02                             N(int, double, double) (terms.cpp:16 @ cc71)
  0.06     30.59     0.02                             N(int, double, double) (terms.cpp:13 @ d0db)
  0.06     30.61     0.02                             N(int, double, double) (terms.cpp:13 @ d1be)
  0.06     30.63     0.02                             N(int, double, double) (terms.cpp:14 @ d1c8)
  0.06     30.65     0.02                             N(int, double, double) (terms.cpp:13 @ d1cc)
  0.06     30.67     0.02                             N(int, double, double) (terms.cpp:17 @ d1fc)
  0.06     30.69     0.02                             N(int, double, double) (terms.cpp:17 @ d2b0)
  0.06     30.71     0.02                             N(int, double, double) (terms.cpp:19 @ d2e0)
  0.06     30.73     0.02                             N(int, double, double) (terms.cpp:17 @ 10165)
  0.06     30.75     0.02                             N(int, double, double) (terms.cpp:19 @ 1029f)
  0.06     30.77     0.02                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:37 @ a830)
  0.06     30.79     0.02                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:33 @ c710)
  0.06     30.81     0.02                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:35 @ cb3b)
  0.06     30.83     0.02                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ cfed)
  0.06     30.85     0.02                             CosInt(int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:51 @ ab73)
  0.06     30.87     0.02                             double Integral_<double (double, int, double, std::vector<double, std::allocator<double> > const&), &(CosIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&)), int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ af7a)
  0.06     30.89     0.02                             double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ cf20)
  0.06     30.91     0.02                             double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ f7ed)
  0.06     30.93     0.02                             double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ 101d0)
  0.05     30.94     0.02                             N(int, double, double) (terms.cpp:13 @ c6c4)
  0.05     30.96     0.02                             N(int, double, double) (terms.cpp:13 @ c7d8)
  0.05     30.97     0.02                             N(int, double, double) (terms.cpp:16 @ c7f9)
  0.05     30.99     0.02                             N(int, double, double) (terms.cpp:16 @ d17b)
  0.05     31.00     0.02                             N(int, double, double) (terms.cpp:13 @ d210)
  0.05     31.02     0.02                             N(int, double, double) (terms.cpp:17 @ 10458)
  0.05     31.03     0.02                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:35 @ b8c6)
  0.05     31.05     0.02                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:37 @ c780)
  0.05     31.06     0.02                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:37 @ d1a0)
  0.05     31.08     0.02                             double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ 101e5)
  0.05     31.09     0.02                             N(int, double, double) (terms.cpp:14 @ d1e4)
  0.05     31.11     0.02                             N(int, double, double) (terms.cpp:13 @ d1e8)
  0.05     31.12     0.02                             N(int, double, double) (terms.cpp:16 @ d1ea)
  0.05     31.14     0.02                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:31 @ cb14)
  0.05     31.15     0.02                             double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ f81c)
  0.03     31.16     0.01                             BIntegrand(double, int, int, int, double, std::vector<double, std::allocator<double> >&, int) (terms.cpp:176 @ f685)
  0.03     31.17     0.01                             BIntegrand(double, int, int, int, double, std::vector<double, std::allocator<double> >&, int) (terms.cpp:176 @ f868)
  0.03     31.18     0.01                             dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (stl_vector.h:671 @ cb05)
  0.03     31.19     0.01                             dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:121 @ ccec)
  0.03     31.20     0.01                             dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:97 @ c82f)
  0.03     31.21     0.01                             dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:97 @ c853)
  0.03     31.22     0.01                             dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:97 @ 10110)
  0.03     31.23     0.01                             dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:97 @ 10203)
  0.03     31.24     0.01                             N(int, double, double) (terms.cpp:14 @ a7e1)
  0.03     31.25     0.01                             N(int, double, double) (terms.cpp:13 @ ac70)
  0.03     31.26     0.01                             N(int, double, double) (terms.cpp:16 @ b75e)
  0.03     31.27     0.01                             N(int, double, double) (terms.cpp:14 @ b8dc)
  0.03     31.28     0.01                             N(int, double, double) (terms.cpp:19 @ c3a0)
  0.03     31.29     0.01                             N(int, double, double) (terms.cpp:16 @ c6e7)
  0.03     31.30     0.01                             N(int, double, double) (terms.cpp:13 @ c720)
  0.03     31.31     0.01                             N(int, double, double) (terms.cpp:19 @ c80f)
  0.03     31.32     0.01                             N(int, double, double) (terms.cpp:14 @ c870)
  0.03     31.33     0.01                             N(int, double, double) (terms.cpp:17 @ c958)
  0.03     31.34     0.01                             N(int, double, double) (terms.cpp:17 @ cb89)
  0.03     31.35     0.01                             N(int, double, double) (terms.cpp:13 @ cf41)
  0.03     31.36     0.01                             N(int, double, double) (terms.cpp:16 @ cfa1)
  0.03     31.37     0.01                             N(int, double, double) (terms.cpp:14 @ d0e7)
  0.03     31.38     0.01                             N(int, double, double) (terms.cpp:16 @ d10e)
  0.03     31.39     0.01                             N(int, double, double) (terms.cpp:19 @ d243)
  0.03     31.40     0.01                             N(int, double, double) (terms.cpp:14 @ 1013f)
  0.03     31.41     0.01                             N(int, double, double) (terms.cpp:13 @ 10143)
  0.03     31.42     0.01                             N(int, double, double) (terms.cpp:19 @ 101b3)
  0.03     31.43     0.01                             N(int, double, double) (terms.cpp:13 @ 10216)
